target,text
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,"Sorry, I'll call later in meeting"
ham,I had it already..sabarish asked me to go..
ham,It certainly puts things into perspective when something like this happens
spam,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins"
ham,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,I'm coming home 4 dinner.
ham,Super da:)good replacement for murali
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,U wan 2 haf lunch i'm in da canteen now.
ham,You will be in the place of that man
ham,Many more happy returns of the day. I wish you happy birthday.
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
spam,Congratulations YOU'VE Won. You're a Winner in our August å£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
ham,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
ham,Remind me how to get there and I shall do so
ham,"Vikky, come around  &lt;TIME&gt; .."
ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
ham,Where can download clear movies. Dvd copies.
ham,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
ham,Only once then after ill obey all yours.
ham,"Just dropped em off, omw back now"
ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
ham,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla.."
ham,Lol no. U can trust me.
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
ham,HAPPY NEW YEAR MY NO.1 MAN
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
ham,Still i have not checked it da. . .
ham,You'll never believe this but i have actually got off at taunton. Wow
ham,Are you ok. What happen to behave like this
ham,"Sorry, I'll call later"
ham,Ill be at yours in about 3 mins but look out for me
ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
ham,Talk to g and x about that
ham,Should i send you naughty pix? :)
ham,"Er, hello, things didnÛ÷t quite go to plan ÛÒ is limping slowly home followed by aa and with exhaust hanging off"
ham,Hi.:)technical support.providing assistance to us customer through call and email:)
ham,He is a womdarfull actor
ham,on hen night. Going with a swing
ham,If I get there before you after your ten billion calls and texts so help me god
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
ham,"She was supposed to be but couldn't make it, she's still in town though"
ham,"Carlos took a while (again), we leave in a minute"
ham,Home so we can always chat
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
ham,Carlos'll be here in a minute if you still need to buy
ham,Its just the effect of irritation. Just ignore it
ham,"I think IÛ÷m waiting for the same bus! Inform me when you get there, if you ever get there."
ham,Ok... But bag again..
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
ham,I meant middle left or right?
ham,I will send them to your email. Do you mind  &lt;#&gt;  times per night?
ham,"I'm a guy, browsin is compulsory"
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
ham,Ok lor wat time Ì_ finish?
ham,No..its ful of song lyrics..
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
ham,"Now, whats your house # again ? And do you have any beer there ?"
ham,THIS IS A LONG FUCKIN SHOWR
ham,Old Orchard near univ. How about you?
spam,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
ham,I will come tomorrow di
ham,Also that chat was awesome but don't make it regular unless you can see her in person
ham,Have you laid your airtel line to rest?
ham,Yes princess! I want to please you every night. Your wish is my command...
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
ham,That seems unnecessarily hostile
ham,Ok...
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA
ham,Dear we got  &lt;#&gt;  dollars hi hi
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.
spam,Money i have won wining number 946 wot do i do next
ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
ham,And by when you're done I mean now
ham,I finished my lunch already. U wake up already?
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
